id,Inlock,cct_primera_opcion,nombre_primera_opcion,turno_primera_opcion,CCT_PROCED,nombre_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Coord_x_procedencia,Coord_y_procedencia
106,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1063G,PRESIDENTE MIGUEL ALEMAN,-99.0435,19.3919,-99.0716,19.42
107,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0963R,PINTOR GERARDO MURILLO,-99.0435,19.3919,-99.0432,19.3926
108,3,09DES0117G,GABRIELA MISTRAL,100,09PPR1218X,ROBERTO OWEN,-99.0435,19.3919,-99.031725,19.3588
109,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1002T,PROFR. BRAULIO RODRÍGUEZ,-99.0435,19.3919,-99.0301,19.3837
110,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0963R,PINTOR GERARDO MURILLO,-99.0435,19.3919,-99.0432,19.3926
111,3,09DES0117G,GABRIELA MISTRAL,100,09DPR3213K,PROFR. PRISCILIANO MARTÍNEZ LÓPEZ,-99.0435,19.3919,-99.0542,19.3978
112,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2262M,ESTADO DE LESOTHO,-99.0435,19.3919,-99.0479,19.3947
113,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
114,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2268G,MANUEL C. TELLO,-99.0435,19.3919,-99.0277,19.3838
115,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0111T,PROFRA. COLUMBA RIVERA,-99.0435,19.3919,-99.0533,19.3855
116,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
117,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
118,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0980H,EMPERADOR ITZCOATL,-99.0435,19.3919,-99.0361,19.3777
119,3,09DES0117G,GABRIELA MISTRAL,100,09PPR0844I,IXTLAMACHILIZTLI,-99.0435,19.3919,-99.034189,19.389224
120,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0963R,PINTOR GERARDO MURILLO,-99.0435,19.3919,-99.0432,19.3926
121,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0963R,PINTOR GERARDO MURILLO,-99.0435,19.3919,-99.0432,19.3926
122,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2109S,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
123,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2805P,ISIDRO FABELA,-99.0435,19.3919,-99.0251,19.3803
124,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2110H,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
125,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1002T,PROFR. BRAULIO RODRÍGUEZ,-99.0435,19.3919,-99.0301,19.3837
126,3,09DES0117G,GABRIELA MISTRAL,100,09DPR3192O,BRUNO TRAVEN,-99.0435,19.3919,-99.0498,19.396
127,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
128,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2109S,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
129,3,09DES0117G,GABRIELA MISTRAL,100,09DPR3213K,PROFR. PRISCILIANO MARTÍNEZ LÓPEZ,-99.0435,19.3919,-99.0542,19.3978
130,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1010B,VOCEADORES DE MÉXICO,-99.0435,19.3919,-99.0327,19.3878
131,3,09DES0117G,GABRIELA MISTRAL,100,09DPR3150P,AUGUSTO COMTE,-99.0435,19.3919,-99.0693,19.3913
132,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2110H,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
133,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0839S,MURALISMO MEXICANO,-99.0435,19.3919,-99.0566,19.3546
134,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0963R,PINTOR GERARDO MURILLO,-99.0435,19.3919,-99.0432,19.3926
135,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2109S,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
136,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2805P,ISIDRO FABELA,-99.0435,19.3919,-99.0251,19.3803
137,3,09DES0117G,GABRIELA MISTRAL,100,09DPR3213K,PROFR. PRISCILIANO MARTÍNEZ LÓPEZ,-99.0435,19.3919,-99.0542,19.3978
138,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1020I,AUGUSTO CESAR SANDINO,-99.0435,19.3919,-99.0641,19.4175
139,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2262M,ESTADO DE LESOTHO,-99.0435,19.3919,-99.0479,19.3947
140,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2109S,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
141,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
142,3,09DES0117G,GABRIELA MISTRAL,100,09PPR0397S,NARCISO MENDOZA,-99.0435,19.3919,-99.026057,19.385624
143,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2940U,PROFRA. CARMEN RAMOS DEL RIO,-99.0435,19.3919,-99.0524,19.3866
144,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2110H,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
145,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0963R,PINTOR GERARDO MURILLO,-99.0435,19.3919,-99.0432,19.3926
146,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1010B,VOCEADORES DE MÉXICO,-99.0435,19.3919,-99.0327,19.3878
147,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1076K,JOSÉ MARÍA MERCADO,-99.0435,19.3919,-99.0486,19.3951
148,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0050W,PROFR. LUIS G. RAMÍREZ VALADEZ,-99.0435,19.3919,-99.065,19.3742
149,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2109S,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
150,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2109S,LEOPOLDO KIEL,-99.0435,19.3919,-99.0411,19.3902
151,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
152,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2907M,DR. IGNACIO CHÁVEZ,-99.0435,19.3919,-99.0358,19.3818
153,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1013Z,U. R. S. S.,-99.0435,19.3919,-99.0573,19.3936
154,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2913X,GUILLERMO PRIETO,-99.0435,19.3919,-99.0401,19.389
155,3,09DES0117G,GABRIELA MISTRAL,100,09PPR0844I,IXTLAMACHILIZTLI,-99.0435,19.3919,-99.034189,19.389224
156,3,09DES0117G,GABRIELA MISTRAL,100,09DPR2926A,RAZON Y FUERZA DE LA REVOLUCION MEXICANA,-99.0435,19.3919,-98.989,19.3476
157,3,09DES0117G,GABRIELA MISTRAL,100,09DPR0102L,EFRAIN HUERTA,-99.0435,19.3919,-99.0707,19.2962
158,3,09DES0132Z,JAPON,500,09DPR5116W,LUCIO CABAÑAS BARRIENTOS,-99.0485,19.3414,-99.0396,19.3217
159,3,09DES0132Z,JAPON,500,09DPR3155K,PROFR. MANUEL VILLASEÑOR,-99.0485,19.3414,-99.0501,19.3343
160,3,09DES0132Z,JAPON,500,09DPR4203K,MÉXICO-JAPÓN,-99.0485,19.3414,-99.0496,19.3243
161,3,09DES0132Z,JAPON,500,09DPR2904P,REPÚBLICA POPULAR DE POLONIA,-99.0485,19.3414,-99.0389,19.3453
162,3,09DES0132Z,JAPON,500,09DPR2271U,LOS DERECHOS DEL NIÑO,-99.0485,19.3414,-99.03,19.345
163,3,09DES0132Z,JAPON,500,09DPR4203K,MÉXICO-JAPÓN,-99.0485,19.3414,-99.0496,19.3243
164,3,09DES0132Z,JAPON,500,09DPR2893Z,MAESTRO MANUEL M CERNA CASTELAZO,-99.0485,19.3414,-99.1241,19.3839
165,3,09DES0132Z,JAPON,500,09PPR1019Y,LICEO HERBART S.C.,-99.0485,19.3414,-99.04944,19.338622
166,3,09DES0132Z,JAPON,500,09DPR1321E,EL AMO TORRES,-99.0485,19.3414,-99.0412,19.3419
167,3,09DES0132Z,JAPON,500,09DPR0108F,PROFR. MANUEL AGUILAR SAENZ,-99.0485,19.3414,-99.0544,19.3522
168,3,09DES0132Z,JAPON,500,09DPR1321E,EL AMO TORRES,-99.0485,19.3414,-99.0412,19.3419
169,3,09DES0132Z,JAPON,500,09PPR1422H,COLEGIO USIGLI S.C.,-99.0485,19.3414,-99.034829,19.35432
170,3,09DES0132Z,JAPON,500,09DPR1295X,GREGORIO MARÍAS,-99.0485,19.3414,-99.0403,19.34
171,3,09DES0132Z,JAPON,500,09DPR3212L,GENOVEVA CORTES,-99.0485,19.3414,-99.0418,19.3349
172,3,09DES0132Z,JAPON,500,09DPR0019M,DANIEL COSIO VILLEGAS,-99.0485,19.3414,-99.0379,19.3123
173,3,09DES0132Z,JAPON,500,09DPR0858G,PROFR. ANGEL SALAS BONILLA,-99.0485,19.3414,-99.04,19.3405
174,3,09DES0132Z,JAPON,500,09PPR1147T,COLEGIO CELESTIN FREINET,-99.0485,19.3414,-99.06017,19.345553
175,3,09DES0132Z,JAPON,500,09DPR3082I,PROFR. VICTORIANO GONZÁLEZ GARZON,-99.0485,19.3414,-99.0587,19.4313
176,3,09DES0132Z,JAPON,500,09DPR1146P,ALBINO GARCÍA,-99.0485,19.3414,-99.038,19.345
177,3,09DES0132Z,JAPON,500,09DPR4203K,MÉXICO-JAPÓN,-99.0485,19.3414,-99.0496,19.3243
178,3,09DES0132Z,JAPON,500,09DPR5057X,PROFR. JOSÉ SANTOS VALDES,-99.0485,19.3414,-99.0418,19.3182
179,3,09DES0132Z,JAPON,500,09DPR1223D,REPÚBLICA DE BRASIL,-99.0485,19.3414,-99.0469,19.3491
180,3,09DES0132Z,JAPON,500,09DPR5114Y,LUCIO CABAÑAS BARRIENTOS,-99.0485,19.3414,-99.0396,19.3217
181,3,09DES0132Z,JAPON,500,09DPR5076L,LOS SIMBOLOS PATRIOS,-99.0485,19.3414,-99.025,19.3338
